Umur,Kelas Pekerja,Pekerjaan,Jam per Minggu,Gaji
65,?,?,38.0,<=7jt
42,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
48,Pekerja Bebas Perusahaan,Sales,40.0,>7jt
51,Pekerja Bebas Bukan Perusahan,Sales,50.0,>7jt
40,Pekerja Bebas Bukan Perusahan,Supir,84.0,<=7jt
20,?,?,15.0,<=7jt
36,Wiraswasta,Sales,40.0,<=7jt
23,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
23,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
36,Pemerintah Lokal,Penjaga,56.0,>7jt
52,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
73,Pekerja Bebas Bukan Perusahan,Petani,40.0,<=7jt
51,Wiraswasta,Pemuka Agama,40.0,<=7jt
44,Pekerja Bebas Perusahaan,Perbaikan Kerajinan,45.0,>7jt
49,Wiraswasta,Pemuka Agama,35.0,<=7jt
53,Wiraswasta,Sales,40.0,<=7jt
25,Wiraswasta,Spesialis,35.0,<=7jt
44,Wiraswasta,Supir,68.0,<=7jt
53,Wiraswasta,Spesialis,54.0,>7jt
52,Pemerintah Lokal,Perbaikan Kerajinan,40.0,<=7jt
28,Wiraswasta,Perbaikan Kerajinan,50.0,<=7jt
24,Wiraswasta,Spesialis,40.0,<=7jt
22,Pekerja Bebas Perusahaan,Pemuka Agama,40.0,<=7jt
45,Wiraswasta,Mesin Inspeksi,65.0,<=7jt
31,Wiraswasta,Servis Lainnya,40.0,<=7jt
51,Wiraswasta,Servis Lainnya,40.0,<=7jt
39,Wiraswasta,Pemuka Agama,40.0,>7jt
43,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
48,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
48,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
21,?,?,40.0,<=7jt
37,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
52,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
29,Wiraswasta,Sales,35.0,>7jt
50,Pemerintah Lokal,Spesialis,70.0,>7jt
41,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
20,Pemerintah Lokal,Pemuka Agama,30.0,<=7jt
37,Pekerja Bebas Bukan Perusahan,Petani,40.0,>7jt
29,Wiraswasta,Servis Lainnya,20.0,<=7jt
21,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
35,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
39,Wiraswasta,Mesin Inspeksi,40.0,>7jt
40,Wiraswasta,Pembersih,60.0,<=7jt
18,Pekerja Bebas Bukan Perusahan,Servis Lainnya,4.0,<=7jt
82,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,40.0,<=7jt
35,Wiraswasta,Sales,40.0,<=7jt
41,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
46,Pekerja Bebas Perusahaan,Ekesekutif Managerial,75.0,>7jt
32,Wiraswasta,Servis Lainnya,35.0,<=7jt
25,Wiraswasta,Supir,50.0,<=7jt
18,?,?,40.0,<=7jt
31,Wiraswasta,Perbaikan Kerajinan,46.0,<=7jt
68,Wiraswasta,Mesin Inspeksi,40.0,>7jt
37,Wiraswasta,Sales,45.0,<=7jt
33,Wiraswasta,Supir,60.0,>7jt
55,Pekerja Bebas Perusahaan,Sales,40.0,<=7jt
27,Pemerintah Negara,Tech-support,80.0,<=7jt
49,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
45,Wiraswasta,Spesialis,40.0,<=7jt
45,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
26,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
17,Wiraswasta,Pembersih,30.0,<=7jt
41,Pekerja Bebas Bukan Perusahan,Petani,40.0,<=7jt
30,Pemerintah Lokal,Penjaga,40.0,<=7jt
24,Wiraswasta,Pemuka Agama,20.0,<=7jt
30,Wiraswasta,Sales,40.0,<=7jt
31,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,60.0,<=7jt
28,Wiraswasta,Spesialis,40.0,<=7jt
27,Wiraswasta,Spesialis,45.0,<=7jt
65,Wiraswasta,Servis Lainnya,50.0,<=7jt
36,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
41,Wiraswasta,Pemuka Agama,43.0,<=7jt
37,Wiraswasta,Mesin Inspeksi,32.0,<=7jt
40,Wiraswasta,Pembersih,40.0,<=7jt
26,Wiraswasta,Pembersih,40.0,<=7jt
57,Wiraswasta,Supir,40.0,>7jt
43,Pemerintah Lokal,Spesialis,45.0,>7jt
25,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
31,Wiraswasta,Servis Lainnya,30.0,<=7jt
59,Pekerja Bebas Bukan Perusahan,Spesialis,43.0,>7jt
61,Wiraswasta,Servis Lainnya,40.0,<=7jt
23,Wiraswasta,Pemuka Agama,25.0,<=7jt
52,Wiraswasta,Spesialis,38.0,>7jt
44,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
24,Wiraswasta,Pemuka Agama,40.0,<=7jt
36,Wiraswasta,Supir,45.0,<=7jt
47,Wiraswasta,Pemuka Agama,48.0,<=7jt
37,Wiraswasta,Sales,50.0,<=7jt
23,Wiraswasta,Pembersih,40.0,<=7jt
32,Wiraswasta,Petani,50.0,<=7jt
30,Wiraswasta,Asisten Rumah Tangga,60.0,<=7jt
25,Wiraswasta,Petani,40.0,<=7jt
22,Wiraswasta,Pemuka Agama,40.0,<=7jt
18,Wiraswasta,Asisten Rumah Tangga,15.0,<=7jt
47,Wiraswasta,Pemuka Agama,40.0,<=7jt
23,Wiraswasta,Ekesekutif Managerial,54.0,<=7jt
28,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
45,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
53,Wiraswasta,Mesin Inspeksi,38.0,<=7jt
44,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,>7jt
32,Wiraswasta,Servis Lainnya,50.0,<=7jt
47,Wiraswasta,Servis Lainnya,60.0,>7jt
34,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,60.0,<=7jt
28,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
37,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
33,Wiraswasta,Servis Lainnya,40.0,<=7jt
27,Wiraswasta,Pembersih,40.0,<=7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
25,Wiraswasta,Sales,43.0,<=7jt
32,Wiraswasta,Servis Lainnya,40.0,<=7jt
54,Wiraswasta,Mesin Inspeksi,50.0,>7jt
28,Wiraswasta,Sales,35.0,<=7jt
35,Wiraswasta,Pemuka Agama,40.0,<=7jt
21,Wiraswasta,Perbaikan Kerajinan,35.0,<=7jt
52,Wiraswasta,Servis Lainnya,30.0,<=7jt
20,Wiraswasta,Servis Lainnya,30.0,<=7jt
17,?,?,20.0,<=7jt
23,Pemerintah Lokal,Supir,40.0,<=7jt
59,Pekerja Bebas Perusahaan,Spesialis,40.0,>7jt
43,Pemerintah Provinsi,Tech-support,50.0,<=7jt
29,Wiraswasta,Supir,40.0,<=7jt
36,Pekerja Bebas Bukan Perusahan,Supir,40.0,<=7jt
51,Wiraswasta,Sales,40.0,<=7jt
18,Wiraswasta,Servis Lainnya,20.0,<=7jt
41,Pemerintah Provinsi,Supir,40.0,>7jt
51,Wiraswasta,Penjaga,50.0,>7jt
19,Wiraswasta,Sales,20.0,<=7jt
25,Wiraswasta,Pembersih,40.0,<=7jt
44,Wiraswasta,Pemuka Agama,40.0,<=7jt
43,Wiraswasta,Pemuka Agama,40.0,<=7jt
39,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
36,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
51,Wiraswasta,Spesialis,50.0,>7jt
37,Pemerintah Lokal,Penjaga,52.0,<=7jt
49,Wiraswasta,Sales,44.0,<=7jt
38,Pemerintah Negara,Spesialis,55.0,>7jt
21,Wiraswasta,Servis Lainnya,30.0,<=7jt
42,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
33,Wiraswasta,Ekesekutif Managerial,55.0,>7jt
25,Wiraswasta,Pemuka Agama,35.0,<=7jt
28,?,?,40.0,<=7jt
54,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
29,Wiraswasta,Sales,40.0,<=7jt
46,Pekerja Bebas Bukan Perusahan,Spesialis,45.0,>7jt
20,Wiraswasta,Pembersih,35.0,<=7jt
47,Pekerja Bebas Bukan Perusahan,Petani,35.0,<=7jt
19,Pekerja Bebas Bukan Perusahan,Sales,20.0,<=7jt
27,Wiraswasta,Spesialis,40.0,<=7jt
26,Pekerja Bebas Bukan Perusahan,Petani,65.0,<=7jt
28,Wiraswasta,Spesialis,45.0,>7jt
46,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
40,Wiraswasta,Pemuka Agama,40.0,<=7jt
32,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
26,Wiraswasta,Pemuka Agama,40.0,<=7jt
84,Wiraswasta,Asisten Rumah Tangga,40.0,<=7jt
54,Wiraswasta,Spesialis,60.0,<=7jt
75,Wiraswasta,Spesialis,8.0,<=7jt
28,Wiraswasta,Spesialis,50.0,<=7jt
23,Wiraswasta,Servis Lainnya,40.0,<=7jt
48,Wiraswasta,Pembersih,40.0,<=7jt
36,Wiraswasta,Supir,60.0,<=7jt
76,Pekerja Bebas Bukan Perusahan,Petani,28.0,<=7jt
37,Wiraswasta,Pemuka Agama,40.0,<=7jt
50,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
36,Wiraswasta,Spesialis,40.0,<=7jt
66,?,?,40.0,>7jt
39,Wiraswasta,Sales,99.0,>7jt
24,Wiraswasta,Pemuka Agama,40.0,<=7jt
60,Pekerja Bebas Bukan Perusahan,Supir,60.0,>7jt
59,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
57,Wiraswasta,Ekesekutif Managerial,45.0,<=7jt
45,Wiraswasta,Pemuka Agama,35.0,<=7jt
45,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
50,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,48.0,<=7jt
36,Wiraswasta,Perbaikan Kerajinan,60.0,>7jt
41,Pekerja Bebas Perusahaan,Ekesekutif Managerial,40.0,>7jt
40,Wiraswasta,Pemuka Agama,40.0,>7jt
55,Wiraswasta,Mesin Inspeksi,44.0,<=7jt
33,Wiraswasta,Tech-support,40.0,<=7jt
30,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
38,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
27,Pemerintah Lokal,Penjaga,40.0,<=7jt
29,Wiraswasta,Sales,40.0,<=7jt
34,Wiraswasta,Tech-support,48.0,>7jt
51,Pekerja Bebas Perusahaan,Sales,70.0,<=7jt
39,Wiraswasta,Supir,99.0,>7jt
33,Pekerja Bebas Bukan Perusahan,Supir,40.0,<=7jt
50,Wiraswasta,Perbaikan Kerajinan,48.0,>7jt
39,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
25,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
35,Wiraswasta,Ekesekutif Managerial,47.0,>7jt
42,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,35.0,<=7jt
25,Wiraswasta,Ekesekutif Managerial,37.0,<=7jt
58,Pekerja Bebas Bukan Perusahan,Spesialis,40.0,<=7jt
18,Wiraswasta,Sales,64.0,<=7jt
66,?,?,20.0,<=7jt
58,Wiraswasta,Spesialis,50.0,>7jt
23,Pemerintah Negara,Pemuka Agama,16.0,<=7jt
24,Wiraswasta,Servis Lainnya,15.0,<=7jt
18,Wiraswasta,Servis Lainnya,40.0,<=7jt
28,Wiraswasta,Ekesekutif Managerial,45.0,>7jt
20,Wiraswasta,Servis Lainnya,16.0,<=7jt
44,Wiraswasta,Spesialis,36.0,<=7jt
19,Wiraswasta,Servis Lainnya,30.0,<=7jt
54,Pemerintah Lokal,Penjaga,40.0,<=7jt
37,Wiraswasta,Supir,35.0,<=7jt
39,Pemerintah Negara,Penjaga,70.0,<=7jt
40,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
43,?,?,40.0,<=7jt
33,Wiraswasta,Petani,20.0,<=7jt
61,Wiraswasta,Sales,40.0,<=7jt
40,Wiraswasta,Sales,30.0,<=7jt
36,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
38,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
21,Wiraswasta,Servis Lainnya,40.0,<=7jt
36,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,35.0,<=7jt
18,?,?,12.0,<=7jt
33,Wiraswasta,Servis Lainnya,50.0,<=7jt
19,Pekerja Bebas Bukan Perusahan,Pemuka Agama,30.0,<=7jt
31,Pemerintah Negara,Sales,40.0,>7jt
41,Wiraswasta,Pemuka Agama,40.0,>7jt
74,Pemerintah Provinsi,Servis Lainnya,17.0,<=7jt
34,?,?,40.0,<=7jt
35,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,30.0,<=7jt
42,Wiraswasta,Pemuka Agama,40.0,<=7jt
26,Wiraswasta,Perbaikan Kerajinan,50.0,<=7jt
46,Wiraswasta,Pemuka Agama,37.0,<=7jt
51,Pemerintah Lokal,Servis Lainnya,40.0,<=7jt
38,Wiraswasta,Servis Lainnya,25.0,<=7jt
33,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
27,Wiraswasta,Servis Lainnya,60.0,<=7jt
32,Wiraswasta,Spesialis,40.0,<=7jt
28,?,?,30.0,<=7jt
49,?,?,15.0,<=7jt
32,Wiraswasta,Supir,60.0,>7jt
32,Wiraswasta,Petani,35.0,<=7jt
55,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
41,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
49,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
46,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
47,Wiraswasta,Pemuka Agama,40.0,<=7jt
30,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
39,Wiraswasta,Spesialis,40.0,<=7jt
20,Pekerja Bebas Perusahaan,Petani,70.0,<=7jt
29,Wiraswasta,Tech-support,45.0,<=7jt
44,Pemerintah Lokal,Penjaga,40.0,<=7jt
35,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,>7jt
24,Wiraswasta,Pemuka Agama,40.0,<=7jt
50,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
63,?,?,16.0,<=7jt
39,Wiraswasta,Sales,50.0,<=7jt
66,Wiraswasta,Pemuka Agama,40.0,<=7jt
21,?,?,40.0,<=7jt
36,Pemerintah Lokal,Spesialis,35.0,<=7jt
42,Wiraswasta,Tech-support,40.0,>7jt
59,Wiraswasta,Pemuka Agama,40.0,<=7jt
32,Pekerja Bebas Bukan Perusahan,Servis Lainnya,5.0,<=7jt
50,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,25.0,<=7jt
27,Wiraswasta,Servis Lainnya,40.0,<=7jt
49,Wiraswasta,Spesialis,60.0,>7jt
44,Wiraswasta,Servis Lainnya,40.0,<=7jt
46,Wiraswasta,Sales,40.0,<=7jt
25,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
32,Pemerintah Lokal,Supir,40.0,<=7jt
50,Wiraswasta,Pemuka Agama,38.0,>7jt
28,Wiraswasta,Perbaikan Kerajinan,48.0,<=7jt
29,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
17,Wiraswasta,Servis Lainnya,30.0,<=7jt
33,Wiraswasta,Spesialis,40.0,<=7jt
54,Wiraswasta,Perbaikan Kerajinan,50.0,<=7jt
37,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
43,Pemerintah Lokal,Spesialis,48.0,<=7jt
47,Wiraswasta,Pembersih,40.0,<=7jt
48,Wiraswasta,Spesialis,38.0,>7jt
81,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
43,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
48,Wiraswasta,Spesialis,25.0,<=7jt
25,Wiraswasta,Servis Lainnya,40.0,<=7jt
29,Wiraswasta,Supir,40.0,<=7jt
34,Pemerintah Lokal,Spesialis,40.0,<=7jt
56,Pemerintah Lokal,Pemuka Agama,40.0,<=7jt
51,Wiraswasta,Mesin Inspeksi,30.0,<=7jt
42,Pekerja Bebas Bukan Perusahan,Sales,60.0,<=7jt
23,Wiraswasta,Ekesekutif Managerial,35.0,<=7jt
35,Pemerintah Negara,Perbaikan Kerajinan,40.0,>7jt
61,Pekerja Bebas Perusahaan,Sales,30.0,<=7jt
61,Pekerja Bebas Bukan Perusahan,Petani,40.0,<=7jt
49,?,?,40.0,<=7jt
19,?,?,20.0,<=7jt
20,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
35,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
24,Wiraswasta,Sales,40.0,<=7jt
75,Wiraswasta,Supir,16.0,<=7jt
47,Pemerintah Lokal,Spesialis,48.0,>7jt
51,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
43,Wiraswasta,Mesin Inspeksi,40.0,>7jt
26,Pekerja Bebas Bukan Perusahan,Spesialis,50.0,<=7jt
26,Wiraswasta,Servis Lainnya,35.0,<=7jt
34,?,?,10.0,<=7jt
30,Wiraswasta,Tech-support,40.0,<=7jt
20,?,?,40.0,<=7jt
22,?,?,25.0,<=7jt
24,Wiraswasta,Pembersih,40.0,<=7jt
19,Wiraswasta,Servis Lainnya,32.0,<=7jt
29,?,?,35.0,<=7jt
38,Wiraswasta,Petani,55.0,<=7jt
28,Wiraswasta,Pemuka Agama,40.0,<=7jt
33,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,<=7jt
59,?,?,41.0,>7jt
30,Wiraswasta,Sales,40.0,<=7jt
52,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
53,Pekerja Bebas Bukan Perusahan,Supir,72.0,<=7jt
40,Pekerja Bebas Bukan Perusahan,Pemuka Agama,40.0,<=7jt
37,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
57,Wiraswasta,Spesialis,45.0,<=7jt
19,Wiraswasta,Pemuka Agama,14.0,<=7jt
40,Wiraswasta,Tech-support,40.0,<=7jt
25,Wiraswasta,Pemuka Agama,40.0,>7jt
53,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
26,Wiraswasta,Servis Lainnya,39.0,<=7jt
38,Wiraswasta,Sales,25.0,<=7jt
29,?,?,40.0,<=7jt
38,Pemerintah Provinsi,Pemuka Agama,30.0,<=7jt
26,Pemerintah Lokal,Spesialis,28.0,<=7jt
26,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
49,Pemerintah Negara,Spesialis,50.0,>7jt
18,Wiraswasta,Sales,20.0,<=7jt
35,Pemerintah Provinsi,Perbaikan Kerajinan,40.0,>7jt
31,Wiraswasta,Spesialis,40.0,<=7jt
18,Wiraswasta,Servis Lainnya,25.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
43,Wiraswasta,Pemuka Agama,40.0,<=7jt
28,Wiraswasta,Spesialis,40.0,<=7jt
51,Wiraswasta,Perbaikan Kerajinan,55.0,>7jt
23,Wiraswasta,Servis Lainnya,10.0,<=7jt
28,Wiraswasta,Sales,60.0,<=7jt
47,Wiraswasta,Pembersih,40.0,<=7jt
27,Wiraswasta,Perbaikan Kerajinan,70.0,<=7jt
18,Wiraswasta,Servis Lainnya,15.0,<=7jt
35,Wiraswasta,Tech-support,40.0,<=7jt
31,Wiraswasta,Tech-support,40.0,<=7jt
32,Pemerintah Lokal,Spesialis,40.0,<=7jt
35,?,?,50.0,<=7jt
21,Wiraswasta,Servis Lainnya,40.0,<=7jt
45,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
21,Wiraswasta,Sales,20.0,<=7jt
39,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
45,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
55,Wiraswasta,Ekesekutif Managerial,50.0,>7jt
61,Pekerja Bebas Bukan Perusahan,Sales,53.0,<=7jt
39,Pemerintah Provinsi,Spesialis,50.0,<=7jt
18,Wiraswasta,Sales,18.0,<=7jt
54,Wiraswasta,Perbaikan Kerajinan,50.0,>7jt
18,?,?,40.0,<=7jt
46,Pemerintah Lokal,Perbaikan Kerajinan,40.0,<=7jt
55,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
25,?,?,35.0,<=7jt
41,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
42,Pemerintah Lokal,Ekesekutif Managerial,60.0,>7jt
42,Wiraswasta,Spesialis,40.0,<=7jt
47,Wiraswasta,Sales,45.0,<=7jt
28,Wiraswasta,Spesialis,40.0,>7jt
17,Wiraswasta,Sales,20.0,<=7jt
34,Wiraswasta,Servis Lainnya,32.0,<=7jt
54,Pekerja Bebas Bukan Perusahan,Sales,50.0,>7jt
28,Wiraswasta,Ekesekutif Managerial,55.0,<=7jt
49,Wiraswasta,Perbaikan Kerajinan,44.0,<=7jt
37,Pemerintah Provinsi,Pemuka Agama,40.0,>7jt
54,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
25,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
34,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,70.0,>7jt
22,Wiraswasta,Servis Lainnya,30.0,<=7jt
65,Pekerja Bebas Perusahaan,Sales,40.0,<=7jt
46,Wiraswasta,Pemuka Agama,40.0,<=7jt
36,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
63,Wiraswasta,Sales,21.0,<=7jt
47,Wiraswasta,Spesialis,50.0,<=7jt
59,Wiraswasta,Spesialis,45.0,>7jt
44,Wiraswasta,Sales,48.0,<=7jt
24,Wiraswasta,Spesialis,50.0,<=7jt
24,Wiraswasta,Tech-support,40.0,<=7jt
25,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
45,Wiraswasta,Ekesekutif Managerial,45.0,>7jt
68,Wiraswasta,Perbaikan Kerajinan,24.0,<=7jt
19,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
32,Wiraswasta,Spesialis,40.0,>7jt
36,Wiraswasta,Spesialis,45.0,>7jt
31,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
55,Wiraswasta,Pemuka Agama,38.0,<=7jt
27,Wiraswasta,Servis Lainnya,35.0,<=7jt
48,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
63,?,?,40.0,<=7jt
52,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
23,Wiraswasta,Sales,50.0,<=7jt
22,Wiraswasta,Penjaga,25.0,<=7jt
30,Wiraswasta,Pemuka Agama,40.0,>7jt
29,Wiraswasta,Pemuka Agama,40.0,<=7jt
21,Wiraswasta,Petani,50.0,<=7jt
50,Wiraswasta,Pembersih,25.0,<=7jt
27,Wiraswasta,Supir,45.0,<=7jt
49,Wiraswasta,Pemuka Agama,40.0,<=7jt
55,Wiraswasta,Servis Lainnya,35.0,<=7jt
37,Pemerintah Negara,Spesialis,36.0,>7jt
21,Wiraswasta,Servis Lainnya,25.0,<=7jt
19,?,?,30.0,<=7jt
46,Wiraswasta,Perbaikan Kerajinan,48.0,<=7jt
33,?,?,40.0,>7jt
35,Pekerja Bebas Perusahaan,Sales,50.0,>7jt
49,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
35,Wiraswasta,Servis Lainnya,40.0,<=7jt
50,Wiraswasta,Mesin Inspeksi,50.0,<=7jt
28,Pemerintah Negara,Pemuka Agama,40.0,<=7jt
35,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
59,Wiraswasta,Servis Lainnya,35.0,<=7jt
38,Wiraswasta,Sales,40.0,>7jt
30,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
23,Wiraswasta,Pembersih,40.0,<=7jt
19,Wiraswasta,Pemuka Agama,20.0,<=7jt
31,Wiraswasta,Spesialis,50.0,>7jt
31,Wiraswasta,Supir,40.0,<=7jt
38,Wiraswasta,Sales,42.0,<=7jt
20,Wiraswasta,Sales,25.0,<=7jt
38,Wiraswasta,Sales,40.0,<=7jt
18,Pekerja Bebas Bukan Perusahan,Petani,30.0,<=7jt
58,Wiraswasta,Pemuka Agama,27.0,<=7jt
33,Wiraswasta,Supir,87.0,<=7jt
20,Wiraswasta,Pemuka Agama,40.0,<=7jt
19,Wiraswasta,Sales,50.0,<=7jt
54,Wiraswasta,Sales,50.0,>7jt
33,Pekerja Bebas Bukan Perusahan,Petani,94.0,<=7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
34,Wiraswasta,Spesialis,40.0,>7jt
45,Pekerja Bebas Bukan Perusahan,Sales,50.0,<=7jt
40,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
42,Wiraswasta,Sales,40.0,<=7jt
29,Wiraswasta,Servis Lainnya,20.0,<=7jt
22,?,?,40.0,<=7jt
22,Pemerintah Lokal,Ekesekutif Managerial,20.0,<=7jt
43,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,60.0,<=7jt
51,Wiraswasta,Spesialis,60.0,>7jt
51,Wiraswasta,Perbaikan Kerajinan,45.0,>7jt
40,Pemerintah Lokal,Servis Lainnya,40.0,<=7jt
22,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
46,Pemerintah Lokal,Servis Lainnya,40.0,<=7jt
42,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
29,Pemerintah Lokal,Spesialis,50.0,<=7jt
21,Wiraswasta,Perbaikan Kerajinan,30.0,<=7jt
32,Wiraswasta,Mesin Inspeksi,40.0,>7jt
44,Wiraswasta,Sales,50.0,>7jt
32,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,50.0,<=7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
42,Pekerja Bebas Bukan Perusahan,Ekesekutif Managerial,50.0,<=7jt
36,Wiraswasta,Pembersih,40.0,<=7jt
44,Wiraswasta,Pemuka Agama,40.0,<=7jt
33,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
21,Wiraswasta,Sales,60.0,<=7jt
47,Wiraswasta,Tech-support,40.0,>7jt
22,Wiraswasta,Penjaga,60.0,<=7jt
51,Wiraswasta,Ekesekutif Managerial,40.0,>7jt
18,Wiraswasta,Servis Lainnya,20.0,<=7jt
29,Wiraswasta,Asisten Rumah Tangga,40.0,<=7jt
41,Wiraswasta,Spesialis,40.0,>7jt
57,Wiraswasta,Penjaga,50.0,<=7jt
18,Pemerintah Negara,Servis Lainnya,20.0,<=7jt
50,Wiraswasta,Perbaikan Kerajinan,45.0,<=7jt
50,Wiraswasta,Pembersih,40.0,<=7jt
29,Wiraswasta,Petani,40.0,<=7jt
37,Wiraswasta,Perbaikan Kerajinan,45.0,>7jt
35,Pemerintah Negara,Mesin Inspeksi,40.0,<=7jt
50,Wiraswasta,Pembersih,40.0,>7jt
26,Wiraswasta,Supir,75.0,<=7jt
25,Wiraswasta,Sales,45.0,<=7jt
31,Wiraswasta,Spesialis,35.0,<=7jt
37,Wiraswasta,Supir,40.0,<=7jt
38,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
40,Wiraswasta,Servis Lainnya,40.0,<=7jt
18,Wiraswasta,Sales,20.0,<=7jt
30,Wiraswasta,Perbaikan Kerajinan,50.0,<=7jt
52,Wiraswasta,Spesialis,45.0,>7jt
57,Pekerja Bebas Bukan Perusahan,Perbaikan Kerajinan,40.0,<=7jt
21,Pemerintah Provinsi,Pemuka Agama,30.0,<=7jt
18,Wiraswasta,Pembersih,20.0,<=7jt
35,Wiraswasta,Spesialis,60.0,<=7jt
